threshold,precision,recall,f1,tp,fp,fn,tn,expected_cost_inr
0.05,0.1155,0.9845,0.2067,445,3408,7,140,1224300
0.1,0.1279,0.9403,0.2252,425,2897,27,651,1135450
0.15,0.1445,0.9115,0.2494,412,2440,40,1108,1034000
0.2,0.1566,0.8761,0.2658,396,2132,56,1416,998200
0.25,0.1686,0.8451,0.2811,382,1884,70,1664,974400
0.3,0.1821,0.7965,0.2964,360,1617,92,1931,979950
0.35,0.2009,0.6991,0.3121,316,1257,136,2291,1051950
0.4,0.2523,0.6062,0.3563,274,812,178,2736,1085200
0.45,0.3469,0.5288,0.4189,239,450,213,3098,1116000
0.5,0.4586,0.4779,0.468,216,255,236,3293,1151250
0.55,0.5241,0.458,0.4888,207,188,245,3360,1168300
0.6,0.5515,0.4381,0.4883,198,161,254,3387,1199350
0.65,0.5689,0.4204,0.4835,190,144,262,3404,1229400
0.7,0.5922,0.4049,0.4809,183,126,269,3422,1254600
0.75,0.6084,0.385,0.4715,174,112,278,3436,1290200
0.8,0.625,0.365,0.4609,165,99,287,3449,1326150
0.85,0.6667,0.3142,0.4271,142,71,310,3477,1419850
0.9,0.7091,0.1726,0.2776,78,32,374,3516,1694200
0.95,0.8788,0.0642,0.1196,29,4,423,3544,1904900
